tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2003-414,Hamburg Masters,Clay,64,M,20030512,9,104053,4,,Andy Roddick,R,188,USA,20.69815195,6,2115,103344,0,,Ivan Ljubicic,R,193,CRO,24.14784394,45,845,6-4 6-4,3,R64,74,5,2,55,28,23,20,10,1,1,3,1,63,35,26,15,10,3,5
2003-416,Rome Masters,Clay,64,M,20030505,16,104053,5,,Andy Roddick,R,188,USA,20.678987,6,2305,102247,0,WC,Andrea Gaudenzi,R,183,ITA,29.76317591,136,286,6-2 6-3,3,R64,67,9,2,49,30,27,11,9,1,1,1,4,50,22,16,12,8,3,6
2003-560,US Open,Hard,128,G,20030825,48,104053,4,,Andy Roddick,R,188,USA,20.98562628,4,3415,102450,0,,Tim Henman,R,185,GBR,28.96646133,33,1020,6-3 7-6(2) 6-3,5,R128,124,6,3,89,60,43,19,14,3,5,2,6,103,66,41,15,16,8,14
2003-560,US Open,Hard,128,G,20030825,88,104053,4,,Andy Roddick,R,188,USA,20.98562628,4,3415,103344,0,,Ivan Ljubicic,R,193,CRO,24.43531828,43,830,6-3 6-7(4) 6-3 7-6(8),5,R64,183,22,3,143,95,72,30,22,9,10,22,6,144,80,64,29,20,10,13
2003-560,US Open,Hard,128,G,20030825,108,104053,4,,Andy Roddick,R,188,USA,20.98562628,4,3415,103581,0,,Flavio Saretta,R,183,BRA,23.15674196,49,733,6-1 6-3 6-3,5,R32,86,10,1,65,33,28,27,13,2,2,8,4,77,41,28,14,12,10,15
2003-560,US Open,Hard,128,G,20030825,118,104053,4,,Andy Roddick,R,188,USA,20.98562628,4,3415,103598,0,,Xavier Malisse,R,185,BEL,23.09924709,67,565,6-3 6-4 7-6(5),5,R16,119,9,0,90,57,52,21,16,5,5,12,4,107,56,44,25,15,6,8
2003-560,US Open,Hard,128,G,20030825,123,104053,4,,Andy Roddick,R,188,USA,20.98562628,4,3415,102854,12,,Sjeng Schalken,R,193,NED,26.9596167,12,1715,6-4 6-2 6-3,5,QF,84,15,0,75,50,44,13,14,5,6,1,2,73,53,29,10,13,3,8
2003-560,US Open,Hard,128,G,20030825,126,104053,4,,Andy Roddick,R,188,USA,20.98562628,4,3415,103900,13,,David Nalbandian,R,180,ARG,21.64544832,13,1700,6-7(4) 3-6 7-6(7) 6-1 6-3,5,SF,211,38,7,152,95,77,33,24,6,7,5,2,175,130,84,29,25,9,13
2003-560,US Open,Hard,128,G,20030825,127,104053,4,,Andy Roddick,R,188,USA,20.98562628,4,3415,103507,3,,Juan Carlos Ferrero,R,183,ESP,23.53182752,3,3625,6-3 7-6(2) 6-3,5,F,101,23,2,87,55,49,19,16,3,3,7,1,90,57,42,15,14,3,5
2003-422,Cincinnati Masters,Hard,64,M,20030811,16,104053,7,,Andy Roddick,R,188,USA,20.94729637,4,3005,104269,0,Q,Fernando Verdasco,L,188,ESP,19.73716632,126,294,6-3 6-2,3,R64,53,9,1,44,27,21,13,9,0,1,4,1,48,33,17,6,8,4,8
2003-422,Cincinnati Masters,Hard,64,M,20030811,40,104053,7,,Andy Roddick,R,188,USA,20.94729637,4,3005,103344,0,,Ivan Ljubicic,R,193,CRO,24.39698836,44,815,6-1 6-4,3,R32,57,10,1,51,35,29,7,9,0,0,3,3,44,20,14,10,8,1,4
2003-422,Cincinnati Masters,Hard,64,M,20030811,52,104053,7,,Andy Roddick,R,188,USA,20.94729637,4,3005,103484,0,,James Blake,R,185,USA,23.61943874,27,1090,7-6(2) 6-2,3,R16,78,9,5,78,46,40,14,10,4,4,9,1,54,29,21,15,10,1,3
2003-422,Cincinnati Masters,Hard,64,M,20030811,58,104053,7,,Andy Roddick,R,188,USA,20.94729637,4,3005,103151,0,,Mariano Zabaleta,R,183,ARG,25.44832307,30,1048,6-1 6-2,3,QF,60,7,1,43,27,21,11,8,0,0,2,3,53,32,17,8,7,2,6
2003-422,Cincinnati Masters,Hard,64,M,20030811,61,104053,7,,Andy Roddick,R,188,USA,20.94729637,4,3005,103018,0,,Max Mirnyi,R,196,BLR,26.0971937,26,1120,7-6(5) 6-4,3,SF,81,14,0,66,48,37,14,11,1,1,9,2,64,44,37,9,11,0,1
2003-422,Cincinnati Masters,Hard,64,M,20030811,63,104053,7,,Andy Roddick,R,188,USA,20.94729637,4,3005,103888,0,,Mardy Fish,R,188,USA,21.67008898,41,860,4-6 7-6(3) 7-6(4),3,F,149,13,6,111,66,55,25,17,5,6,8,9,131,69,55,31,17,5,5
2003-580,Australian Open,Hard,128,G,20030113,9,104053,9,,Andy Roddick,R,188,USA,20.37234771,10,2045,103318,0,,Zeljko Krajan,R,178,CRO,23.94250513,105,383,6-7(9) 6-2 7-6(0) 6-3,5,R128,165,19,2,140,91,70,27,21,10,12,10,7,127,83,56,25,20,4,9
2003-580,Australian Open,Hard,128,G,20030113,69,104053,9,,Andy Roddick,R,188,USA,20.37234771,10,2045,102437,0,,Adrian Voinea,R,185,ROU,28.43805613,59,649,6-2 6-2 6-2,5,R64,77,13,1,61,40,35,13,12,0,0,7,5,88,55,32,15,12,9,15
2003-580,Australian Open,Hard,128,G,20030113,99,104053,9,,Andy Roddick,R,188,USA,20.37234771,10,2045,102950,0,,Fernando Vicente,R,180,ESP,25.85078713,58,671,6-2 6-3 6-2,5,R32,79,9,2,61,38,34,18,13,0,0,6,0,72,35,21,19,12,5,10
2003-580,Australian Open,Hard,128,G,20030113,114,104053,9,,Andy Roddick,R,188,USA,20.37234771,10,2045,104022,25,,Mikhail Youzhny,R,183,RUS,20.55304586,31,1090,6-7(4) 3-6 7-5 6-3 6-2,5,R16,194,22,2,156,101,81,27,25,5,7,14,3,166,91,60,43,25,7,12
2003-580,Australian Open,Hard,128,G,20030113,121,104053,9,,Andy Roddick,R,188,USA,20.37234771,10,2045,101962,18,,Younes El Aynaoui,R,193,MAR,31.33744011,22,1295,4-6 7-6(5) 4-6 6-4 21-19,5,QF,300,27,2,231,143,114,61,41,6,9,25,8,253,179,141,37,41,10,13
2003-328,Basel,Carpet,32,A,20031020,1,104053,1,,Andy Roddick,R,188,USA,21.13894593,2,4235,103238,0,Q,Jean Claude Scherrer,R,188,SUI,25.25119781,292,116,6-3 7-6(4),3,R32,86,13,3,65,42,32,16,11,1,2,6,2,76,50,32,17,10,5,7
2003-328,Basel,Carpet,32,A,20031020,17,104053,1,,Andy Roddick,R,188,USA,21.13894593,2,4235,103153,0,Q,Gilles Elseneer,R,188,BEL,25.62354552,139,269,6-3 7-6(5),3,R16,86,10,2,64,45,36,11,11,2,3,6,6,61,33,26,13,10,5,7
2003-328,Basel,Carpet,32,A,20031020,25,104053,1,,Andy Roddick,R,188,USA,21.13894593,2,4235,103694,0,,Olivier Rochus,R,168,BEL,22.75154004,50,751,6-4 6-4,3,QF,74,12,4,53,33,28,13,10,0,0,2,0,66,38,27,12,10,5,7
2003-419,Indianapolis,Hard,48,A,20030721,17,104053,1,,Andy Roddick,R,188,USA,20.88980151,6,2765,102642,0,,Cyril Saulnier,R,190,FRA,27.92881588,101,384,6-7(5) 6-3 7-6(4),3,R32,129,17,0,103,67,58,18,17,1,2,13,3,117,58,45,31,16,10,12
2003-419,Indianapolis,Hard,48,A,20030721,33,104053,1,,Andy Roddick,R,188,USA,20.88980151,6,2765,102571,0,,Gregory Carraz,R,190,FRA,28.28199863,102,384,6-3 6-4,3,R16,62,8,1,51,28,21,17,10,0,1,8,8,57,26,23,9,9,4,7
2003-419,Indianapolis,Hard,48,A,20030721,41,104053,1,,Andy Roddick,R,188,USA,20.88980151,6,2765,103598,9,,Xavier Malisse,R,185,BEL,23.00342231,68,615,6-4 6-1,3,QF,59,12,3,51,34,29,10,9,1,1,5,0,47,28,19,7,8,3,6
2003-419,Indianapolis,Hard,48,A,20030721,45,104053,1,,Andy Roddick,R,188,USA,20.88980151,6,2765,102854,3,,Sjeng Schalken,R,193,NED,26.86379192,12,1715,6-3 6-2,3,SF,63,5,2,45,21,18,16,9,0,1,1,1,57,33,20,9,8,6,10
2003-419,Indianapolis,Hard,48,A,20030721,47,104053,1,,Andy Roddick,R,188,USA,20.88980151,6,2765,103387,2,,Paradorn Srichaphan,R,185,THA,24.10130048,11,1835,7-6(2) 6-4,3,F,83,15,3,62,32,29,22,11,1,1,5,3,68,29,21,25,11,3,4
2003-418,Washington,Hard,48,A,20030728,32,104053,2,,Andy Roddick,R,188,USA,20.90896646,6,2890,103184,0,,Bob Bryan,L,193,USA,25.24572211,205,171,7-6(5) 6-4,3,R32,74,12,2,61,36,33,16,11,0,0,12,1,61,45,36,8,11,0,1
2003-418,Washington,Hard,48,A,20030728,40,104053,2,,Andy Roddick,R,188,USA,20.90896646,6,2890,102257,14,,Greg Rusedski,L,193,GBR,29.88911704,68,617,6-3 7-6(4),3,R16,72,12,1,66,46,38,14,11,3,3,9,0,57,38,30,14,10,2,3
2003-418,Washington,Hard,48,A,20030728,44,104053,2,,Andy Roddick,R,188,USA,20.90896646,6,2890,103888,11,,Mardy Fish,R,188,USA,21.63175907,40,875,6-1 6-4,3,QF,50,13,0,44,32,27,9,9,0,0,8,4,49,29,17,9,8,3,6
2003-352,Paris Masters,Carpet,48,M,20031027,32,104053,2,,Andy Roddick,R,188,USA,21.15811088,2,4235,103812,0,Q,Victor Hanescu,R,198,ROU,22.26694045,76,467,7-6(4) 7-6(4),3,R32,87,8,2,72,39,33,23,12,0,1,9,0,74,52,45,10,12,0,1
2003-352,Paris Masters,Carpet,48,M,20031027,40,104053,2,,Andy Roddick,R,188,USA,21.15811088,2,4235,103990,16,,Tommy Robredo,R,180,ESP,21.48939083,21,1255,6-3 6-4,3,R16,62,13,2,59,35,30,13,10,1,1,1,3,54,33,26,9,9,3,5
2003-352,Paris Masters,Carpet,48,M,20031027,44,104053,2,,Andy Roddick,R,188,USA,21.15811088,2,4235,102035,0,,Jonas Bjorkman,R,183,SWE,31.59479808,41,948,7-5 7-6(0),3,QF,86,19,2,67,40,38,16,12,0,0,5,2,67,40,30,16,12,1,2
2003-311,Queen's Club,Grass,56,A,20030609,36,104053,3,,Andy Roddick,R,188,USA,20.77481177,7,2225,103573,0,Q,Rik De Voest,R,180,RSA,23.00889802,195,185,6-3 6-2,3,R32,52,11,1,53,31,26,15,9,2,2,2,0,53,36,23,8,8,1,4
