tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2006-615,Dusseldorf,Clay,32,A,20060522,16,103454,35,,Nicolas Massu,R,183,CHI,26.3,35,860,104053,5,,Andy Roddick,R,188,USA,23.74537988,5,2585,4-2 RET,3,RR,33,1,0,16,12,10,2,3,0,0,1,0,20,9,5,7,3,2,3
2006-520,Roland Garros,Clay,128,G,20060529,33,103252,0,,Alberto Martin,R,175,ESP,27.77275838,68,589,104053,5,,Andy Roddick,R,188,USA,23.74537988,5,2585,6-4 7-5 1-0 RET,5,R128,101,4,0,60,39,32,13,11,1,2,7,3,76,41,31,11,12,5,9
2006-403,Miami Masters,Hard,96,M,20060320,90,103970,11,,David Ferrer,R,175,ESP,23.96440794,11,1700,104053,4,,Andy Roddick,R,188,USA,23.55373032,4,2535,6-3 4-6 6-4,3,QF,112,0,1,84,54,40,15,15,2,5,10,2,80,50,39,10,14,4,8
2006-402,Memphis,Hard,32,A,20060220,25,103898,0,Q,Julien Benneteau,R,185,FRA,24.16974675,122,340,104053,1,,Andy Roddick,R,188,USA,23.4770705,3,2685,3-6 6-4 7-6(4),3,QF,133,18,4,99,77,56,13,15,7,9,14,3,104,74,52,15,16,7,9
2006-404,Indian Wells Masters,Hard,96,M,20060306,86,104214,24,,Igor Andreev,R,185,RUS,22.64476386,26,1255,104053,3,,Andy Roddick,R,188,USA,23.51540041,3,2685,6-4 6-7(5) 6-1,3,R16,126,7,2,95,64,48,20,15,6,6,4,5,89,51,36,19,14,3,6
2006-540,Wimbledon,Grass,128,G,20060626,108,104918,0,,Andy Murray,R,190,GBR,19.1156742,44,826,104053,3,,Andy Roddick,R,188,USA,23.8220397,5,2430,7-6(4) 6-4 6-4,5,R32,151,6,1,115,61,45,34,16,11,12,21,3,113,78,57,14,16,9,12
2006-717,Houston,Clay,32,A,20060410,25,103163,5,,Tommy Haas,R,188,GER,28.01916496,27,1250,104053,1,,Andy Roddick,R,188,USA,23.61122519,4,2655,6-7(1) 6-4 6-4,3,QF,131,6,5,105,59,44,24,16,6,8,11,3,92,59,43,15,16,5,9
2006-1536,Madrid Masters,Hard,48,M,20061016,39,104607,11,,Tomas Berdych,R,196,CZE,21.07871321,11,1860,104053,6,,Andy Roddick,R,188,USA,24.12867899,6,2635,7-6(7) 6-3,3,R16,81,23,2,65,46,41,11,11,0,0,12,4,63,44,36,11,10,3,4
2006-337,Vienna,Hard,32,A,20061009,30,103602,5,,Fernando Gonzalez,R,183,CHI,26.19575633,10,1850,104053,3,,Andy Roddick,R,188,USA,24.10951403,6,2585,6-4 3-6 7-6(5),3,SF,127,9,3,90,63,51,15,15,0,1,12,0,111,76,50,25,16,4,5
2006-580,Australian Open,Hard,128,G,20060116,120,104571,0,,Marcos Baghdatis,R,183,CYP,20.58316222,54,684,104053,2,,Andy Roddick,R,188,USA,23.38124572,3,3085,6-4 1-6 6-3 6-4,5,R16,152,16,1,125,60,43,37,18,7,9,15,4,108,65,48,24,18,7,10
