tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2009-403,Miami Masters,Hard,96,M,20090325,57,104053,5,,Andy Roddick,R,188,USA,26.56262834,6,4610,103675,0,,Diego Junqueira,L,178,ARG,28.23271732,73,992,6-1 6-1,3,R64,57,5,0,36,23,22,6,7,0,0,0,2,42,29,11,6,7,4,9
2009-403,Miami Masters,Hard,96,M,20090325,77,104053,5,,Andy Roddick,R,188,USA,26.56262834,6,4610,104098,25,,Dmitry Tursunov,R,185,RUS,26.27789185,26,1925,7-6(9) 6-2,3,R32,110,11,1,60,42,32,12,10,0,1,4,3,80,43,32,15,10,7,10
2009-403,Miami Masters,Hard,96,M,20090325,87,104053,5,,Andy Roddick,R,188,USA,26.56262834,6,4610,104792,9,,Gael Monfils,R,193,FRA,22.55715264,10,3550,7-6(2) 6-4,3,R16,97,5,1,63,42,37,11,11,0,1,10,5,76,47,34,12,11,3,5
2009-403,Miami Masters,Hard,96,M,20090325,92,103819,2,,Roger Federer,R,185,SUI,27.62217659,2,10910,104053,5,,Andy Roddick,R,188,USA,26.56262834,6,4610,6-3 4-6 6-4,3,QF,123,7,5,80,51,36,20,14,2,3,6,4,101,71,48,16,15,4,7
2009-747,Beijing,Hard,32,A,20091005,12,103997,0,Q,Lukasz Kubot,R,190,POL,27.38945927,143,418,104053,3,,Andy Roddick,R,188,USA,27.09924709,6,4920,6-2 6-4,3,R32,81,5,7,57,37,29,7,9,2,4,5,4,59,41,24,5,9,4,9
2009-404,Indian Wells Masters,Hard,96,M,20090312,48,104053,7,,Andy Roddick,R,188,USA,26.52429843,7,4060,104230,0,Q,Daniel Koellerer,R,180,AUT,25.56057495,107,812,6-1 7-6(3),3,R64,98,16,1,58,41,33,12,10,0,1,1,0,62,47,30,7,9,6,9
2009-404,Indian Wells Masters,Hard,96,M,20090312,72,104053,7,,Andy Roddick,R,188,USA,26.52429843,7,4060,103017,31,,Nicolas Kiefer,R,183,GER,31.67693361,32,1720,6-4 7-6(4),3,R32,106,8,2,67,49,39,12,11,3,3,5,3,73,37,29,19,11,2,3
2009-404,Indian Wells Masters,Hard,96,M,20090312,84,104053,7,,Andy Roddick,R,188,USA,26.52429843,7,4060,103970,12,,David Ferrer,R,175,ESP,26.93497604,12,3025,7-6(5) 3-6 6-3,3,R16,140,10,3,95,66,48,17,15,6,8,8,2,99,59,44,22,15,5,7
2009-404,Indian Wells Masters,Hard,96,M,20090312,90,104053,7,,Andy Roddick,R,188,USA,26.52429843,7,4060,104925,3,,Novak Djokovic,R,188,SRB,21.79876797,3,9240,6-3 6-2,3,QF,69,5,0,43,35,27,6,8,2,2,2,4,56,32,18,11,9,1,5
2009-404,Indian Wells Masters,Hard,96,M,20090312,93,104745,1,,Rafael Nadal,L,185,ESP,22.7652293,1,14360,104053,7,,Andy Roddick,R,188,USA,26.52429843,7,4060,6-4 7-6(4),3,SF,110,5,2,75,50,37,12,11,3,5,9,1,66,45,34,8,11,3,6
2009-402,Memphis,Hard,32,A,20090216,1,104053,1,,Andy Roddick,R,188,USA,26.46680356,6,4510,104327,0,,Steve Darcis,R,178,BEL,24.93086927,52,1338,7-6(1) 6-2,3,R32,67,20,0,51,39,36,8,10,0,0,7,1,64,34,25,15,10,4,6
2009-402,Memphis,Hard,32,A,20090216,17,104053,1,,Andy Roddick,R,188,USA,26.46680356,6,4510,104068,0,,Robby Ginepri,R,183,USA,26.36276523,51,1350,6-2 6-3,3,R16,62,11,0,44,35,27,7,9,0,1,4,1,57,35,21,7,8,8,12
2009-402,Memphis,Hard,32,A,20090216,25,104053,1,,Andy Roddick,R,188,USA,26.46680356,6,4510,105023,8,,Sam Querrey,R,198,USA,21.36344969,37,1615,6-4 3-6 6-3,3,QF,103,11,1,82,64,49,9,14,1,2,15,4,84,48,36,20,14,4,6
2009-402,Memphis,Hard,32,A,20090216,29,104053,1,,Andy Roddick,R,188,USA,26.46680356,6,4510,103720,0,,Lleyton Hewitt,R,180,AUS,27.97809719,103,855,2-6 7-6(4) 6-4,3,SF,131,16,3,103,76,57,13,15,5,7,14,2,95,53,44,23,15,8,9
2009-402,Memphis,Hard,32,A,20090216,31,104053,1,,Andy Roddick,R,188,USA,26.46680356,6,4510,103285,5,,Radek Stepanek,R,185,CZE,30.22313484,19,2640,7-5 7-5,3,F,104,8,1,78,53,37,13,12,3,4,7,3,67,38,28,15,12,1,4
2009-560,US Open,Hard,128,G,20090831,32,104053,5,,Andy Roddick,R,188,USA,27.00342231,5,5720,103451,0,,Bjorn Phau,R,175,GER,29.908282,84,719,6-1 6-4 6-2,5,R128,95,13,1,69,56,45,8,13,1,2,3,0,76,41,27,12,12,3,9
2009-560,US Open,Hard,128,G,20090831,80,104053,5,,Andy Roddick,R,188,USA,27.00342231,5,5720,102967,0,,Marc Gicquel,R,188,FRA,32.42162902,81,730,6-1 6-4 6-4,5,R64,113,13,0,81,55,42,19,14,1,1,5,3,86,49,30,20,13,1,5
2009-560,US Open,Hard,128,G,20090831,104,104545,0,,John Isner,R,206,USA,24.34770705,55,914,104053,5,,Andy Roddick,R,188,USA,27.00342231,5,5720,7-6(3) 6-3 3-6 5-7 7-6(5),5,R32,231,38,7,163,106,85,34,27,7,9,20,2,154,102,85,33,27,6,7
2009-311,Queen's Club,Grass,56,A,20090608,40,104053,2,,Andy Roddick,R,188,USA,26.77344285,6,4400,104019,0,,Kristof Vliegen,R,193,BEL,26.96235455,89,814,6-1 6-4,3,R32,56,11,0,45,29,26,10,9,0,0,2,3,43,21,15,10,8,0,3
2009-311,Queen's Club,Grass,56,A,20090608,48,104053,2,,Andy Roddick,R,188,USA,26.77344285,6,4400,103720,15,,Lleyton Hewitt,R,180,AUS,28.28473648,49,1130,7-6(2) 7-6(4),3,R16,100,18,3,80,47,42,18,12,1,1,7,4,72,46,40,13,12,0,0
2009-311,Queen's Club,Grass,56,A,20090608,52,104053,2,,Andy Roddick,R,188,USA,26.77344285,6,4400,103333,9,,Ivo Karlovic,R,208,CRO,30.275154,29,1665,7-6(4) 7-6(5),3,QF,82,24,2,72,56,50,11,12,0,0,26,0,74,53,48,12,12,2,2
2009-311,Queen's Club,Grass,56,A,20090608,54,103484,6,,James Blake,R,185,USA,29.44558522,16,2390,104053,2,,Andy Roddick,R,188,USA,26.77344285,6,4400,4-4 RET,3,SF,32,3,0,20,11,10,7,4,0,0,4,0,26,14,12,6,4,3,3
2009-1536,Madrid Masters,Clay,56,M,20090510,37,104053,6,,Andy Roddick,R,188,USA,26.69678303,6,4040,103163,0,Q,Tommy Haas,R,188,GER,31.10472279,75,945,1-6 7-6(9) 6-4,3,R32,143,9,2,97,70,51,15,14,0,2,14,5,112,62,49,27,15,11,12
2009-1536,Madrid Masters,Clay,56,M,20090510,52,103819,2,,Roger Federer,R,185,SUI,27.75633128,2,10170,104053,6,,Andy Roddick,R,188,USA,26.69678303,6,4040,7-5 6-7(5) 6-1,3,QF,131,15,2,97,56,49,20,16,2,3,9,1,91,61,42,16,15,5,9
2009-451,Doha,Hard,32,A,20090105,5,104053,4,,Andy Roddick,R,188,USA,26.35181383,8,3940,103868,0,,Ivan Navarro,R,183,ESP,27.21423682,73,1108,6-1 6-3,3,R32,62,8,0,46,34,26,9,8,1,1,3,8,52,20,16,10,8,6,10
2009-451,Doha,Hard,32,A,20090105,19,104053,4,,Andy Roddick,R,188,USA,26.35181383,8,3940,103096,0,WC,Arnaud Clement,R,173,FRA,31.05270363,92,960,6-3 7-5,3,R16,103,11,0,59,41,31,11,11,3,5,3,0,77,42,20,20,10,5,9
2009-451,Doha,Hard,32,A,20090105,26,104053,4,,Andy Roddick,R,188,USA,26.35181383,8,3940,103812,0,,Victor Hanescu,R,198,ROU,27.46064339,48,1486,6-3 6-2,3,QF,67,13,0,50,42,32,6,9,1,1,5,1,61,46,26,7,8,9,12
