"tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","coach","rod_first_sv_pctg","rod_first_sv_won_pctg","rod_sv_gms_won_pctg","rod_aces","rod_dfs","rod_bpfaced"
"2000-499","Delray Beach","Hard",32,"A",20000228,7,102133,0,"","Laurence Tieleman","R",180,"ITA",27.2881588,104,398,104053,0,"WC","Andy Roddick","R",188,"USA",17.49760438,0,0,"7-6(6) 7-5",3,"R32",84,16,6,79,38,34,25,12,6,6,5,0,74,40,29,24,12,3,4,"Tarik Benhabiles",0.54,0.72,0.92,5,0,4
"2000-403","Miami Masters","Hard",96,"M",20000320,33,101736,1,"","Andre Agassi","R",180,"USA",29.89185489,1,4984,104053,0,"WC","Andy Roddick","R",188,"USA",17.55509925,989,5,"6-2 6-3",3,"R64",65,6,0,48,32,26,10,8,6,6,2,3,58,28,19,12,9,4,8,"Tarik Benhabiles",0.48,0.68,0.56,2,3,8
"2000-422","Cincinnati Masters","Hard",64,"M",20000807,23,101150,0,"Q","Gianluca Pozzi","L",180,"ITA",35.14031485,49,769,104053,0,"WC","Andy Roddick","R",188,"USA",17.93839836,643,20,"7-6(5) 6-1",3,"R64",73,9,0,56,31,25,20,10,0,0,15,4,60,36,29,8,9,4,6,"Tarik Benhabiles",0.6,0.81,0.78,15,4,6
"2000-418","Washington","Hard",56,"A",20000814,49,101736,1,"","Andre Agassi","R",180,"USA",30.29431896,1,3855,104053,0,"WC","Andy Roddick","R",188,"USA",17.95756331,596,25,"6-4 6-4",3,"QF",69,9,2,50,33,28,12,10,0,0,11,3,75,44,31,15,10,8,10,"Tarik Benhabiles",0.59,0.7,0.8,11,3,10
"2000-560","US Open","Hard",128,"G",20000828,46,102610,0,"","Albert Costa","R",180,"ESP",25.17727584,24,1132,104053,0,"WC","Andy Roddick","R",188,"USA",17.99589322,338,85,"6-3 6-7(5) 6-1 6-4",5,"R128",146,18,3,116,65,54,33,20,3,4,14,5,127,65,51,25,18,11,16,"Tarik Benhabiles",0.51,0.78,0.72,14,5,16
"2001-402","Memphis","Hard",48,"A",20010219,28,103163,3,"","Tommy Haas","R",188,"GER",22.88295688,21,1210,104053,0,"WC","Andy Roddick","R",188,"USA",18.47501711,124,310,"6-7(5) 6-0 6-4",3,"R32",115,15,4,86,51,39,24,14,0,0,15,4,111,72,44,19,14,8,12,"Tarik Benhabiles",0.65,0.61,0.71,15,4,12
"2001-424","San Jose","Hard",32,"A",20010226,20,102998,6,"","Jan Michael Gambill","R",190,"USA",23.73442847,26,1115,104053,0,"WC","Andy Roddick","R",188,"USA",18.49418207,123,325,"7-6(5) 7-6(1)",3,"R16",92,11,8,75,36,33,25,12,2,2,9,1,66,43,35,17,12,0,0,"Tarik Benhabiles",0.65,0.81,1,9,1,0
"2001-499","Delray Beach","Hard",32,"A",20010305,2,103181,0,"","Jiri Vanek","R",185,"CZE",22.86379192,87,458,104053,0,"WC","Andy Roddick","R",188,"USA",18.51334702,120,335,"6-4 6-7(4) 6-4",3,"R32",129,12,1,121,72,54,27,16,10,10,15,9,109,65,53,20,16,1,3,"Tarik Benhabiles",0.6,0.82,0.88,15,9,3
"2001-403","Miami Masters","Hard",96,"M",20010319,91,103720,7,"","Lleyton Hewitt","R",180,"AUS",20.06297057,7,2575,104053,0,"WC","Andy Roddick","R",188,"USA",18.55167693,119,340,"6-3 6-2",3,"QF",72,5,3,51,27,25,11,9,4,5,5,4,46,21,17,8,8,3,7,"Tarik Benhabiles",0.46,0.81,0.5,5,4,7
"2001-520","Roland Garros","Clay",128,"G",20010528,104,103720,6,"","Lleyton Hewitt","R",180,"AUS",20.25462012,6,2615,104053,0,"","Andy Roddick","R",188,"USA",18.74332649,48,808,"6-7(6) 6-4 2-2 RET",5,"R32",138,15,3,101,61,41,23,13,5,6,0,5,92,52,40,17,13,14,16,"Tarik Benhabiles",0.57,0.77,0.85,0,5,16
