tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2001-352,Paris Masters,Carpet,48,M,20011029,18,102854,0,,Sjeng Schalken,R,193,NED,25.13894593,25,1163,104053,13,,Andy Roddick,R,188,USA,19.16495551,16,1662,4-6 6-3 7-5,3,R32,100,5,3,98,71,53,16,16,3,4,15,4,78,47,39,18,15,2,4
2001-328,Basel,Carpet,32,A,20011022,8,104053,6,,Andy Roddick,R,188,USA,19.14579055,16,1610,101902,0,Q,Stephane Huet,L,180,FRA,30.49418207,269,132,6-2 3-6 7-6(5),3,R32,101,14,5,88,44,38,24,14,1,2,6,2,92,48,38,23,15,3,5
2001-328,Basel,Carpet,32,A,20011022,20,104053,6,,Andy Roddick,R,188,USA,19.14579055,16,1610,102800,0,Q,Nenad Zimonjic,R,190,SRB,25.38261465,243,150,6-4 7-6(4),3,R16,83,13,2,62,42,36,13,11,0,0,12,3,81,52,39,13,11,4,5
2001-328,Basel,Carpet,32,A,20011022,26,103819,4,,Roger Federer,R,185,SUI,20.20533881,13,1745,104053,6,,Andy Roddick,R,188,USA,19.14579055,16,1610,3-6 6-3 7-6(5),3,QF,101,11,2,84,51,43,18,15,1,3,9,1,93,54,41,22,15,4,6
2002-352,Paris Masters,Carpet,48,M,20021028,23,104053,12,,Andy Roddick,R,188,USA,20.1615332,12,1925,103344,0,,Ivan Ljubicic,R,193,CRO,23.61122519,50,735,7-6(4) 7-6(3),3,R32,88,7,1,75,49,41,19,12,5,5,11,0,72,47,38,18,12,2,2
2002-352,Paris Masters,Carpet,48,M,20021028,36,104053,12,,Andy Roddick,R,188,USA,20.1615332,12,1925,102318,0,,Andrei Pavel,R,183,ROU,28.75017112,28,1155,7-6(5) 6-4,3,R16,78,12,3,65,38,33,15,11,1,2,5,5,67,40,33,11,11,2,4
2002-352,Paris Masters,Carpet,48,M,20021028,42,103387,0,,Paradorn Srichaphan,R,185,THA,23.37303217,21,1478,104053,12,,Andy Roddick,R,188,USA,20.1615332,12,1925,7-6(3) 7-6(3),3,QF,84,18,1,69,46,42,16,12,0,0,15,0,75,43,40,15,12,1,1
2002-328,Basel,Carpet,32,A,20021021,8,104053,5,,Andy Roddick,R,188,USA,20.14236824,12,1925,103598,0,,Xavier Malisse,R,185,BEL,22.25598905,25,1270,6-4 6-3,3,R32,64,6,6,61,36,30,12,10,3,4,6,3,54,31,20,11,9,6,9
2002-328,Basel,Carpet,32,A,20021021,20,104053,5,,Andy Roddick,R,188,USA,20.14236824,12,1925,103484,0,,James Blake,R,185,USA,22.81451061,27,1185,7-6(6) 6-3,3,R16,74,17,1,60,39,35,13,11,0,0,3,0,74,45,29,18,10,3,4
2002-328,Basel,Carpet,32,A,20021021,26,103819,3,,Roger Federer,R,185,SUI,21.2019165,8,2235,104053,5,,Andy Roddick,R,188,USA,20.14236824,12,1925,7-6(5) 6-1,3,QF,70,4,1,50,29,23,17,9,0,0,14,0,76,49,39,5,10,4,7
2003-328,Basel,Carpet,32,A,20031020,1,104053,1,,Andy Roddick,R,188,USA,21.13894593,2,4235,103238,0,Q,Jean Claude Scherrer,R,188,SUI,25.25119781,292,116,6-3 7-6(4),3,R32,86,13,3,65,42,32,16,11,1,2,6,2,76,50,32,17,10,5,7
2003-328,Basel,Carpet,32,A,20031020,17,104053,1,,Andy Roddick,R,188,USA,21.13894593,2,4235,103153,0,Q,Gilles Elseneer,R,188,BEL,25.62354552,139,269,6-3 7-6(5),3,R16,86,10,2,64,45,36,11,11,2,3,6,6,61,33,26,13,10,5,7
2003-328,Basel,Carpet,32,A,20031020,25,104053,1,,Andy Roddick,R,188,USA,21.13894593,2,4235,103694,0,,Olivier Rochus,R,168,BEL,22.75154004,50,751,6-4 6-4,3,QF,74,12,4,53,33,28,13,10,0,0,2,0,66,38,27,12,10,5,7
2003-328,Basel,Carpet,32,A,20031020,29,103900,4,,David Nalbandian,R,180,ARG,21.79876797,9,2070,104053,1,,Andy Roddick,R,188,USA,21.13894593,2,4235,7-5 7-5,3,SF,95,3,4,69,43,31,16,12,0,1,13,1,76,44,28,18,12,2,5
2003-352,Paris Masters,Carpet,48,M,20031027,32,104053,2,,Andy Roddick,R,188,USA,21.15811088,2,4235,103812,0,Q,Victor Hanescu,R,198,ROU,22.26694045,76,467,7-6(4) 7-6(4),3,R32,87,8,2,72,39,33,23,12,0,1,9,0,74,52,45,10,12,0,1
2003-352,Paris Masters,Carpet,48,M,20031027,40,104053,2,,Andy Roddick,R,188,USA,21.15811088,2,4235,103990,16,,Tommy Robredo,R,180,ESP,21.48939083,21,1255,6-3 6-4,3,R16,62,13,2,59,35,30,13,10,1,1,1,3,54,33,26,9,9,3,5
