"","winner","opponent_rank","aces","double_faults","surface","first_srv_pctg","minutes"
"1","Andy Roddick",41,5,2,0.76,0.56,58
"2","Andy Roddick",91,9,3,0.76,0.67,53
"3","Andy Roddick",30,12,2,0.76,0.55,102
"4","Andy Roddick",47,8,2,0.76,0.59,83
"5","Andy Roddick",77,14,4,0.8,0.58,130
"6","Andy Roddick",60,9,5,0.8,0.54,81
"7","Andy Roddick",78,7,2,0.8,0.63,69
"8","Andy Roddick",89,11,1,0.76,0.76,60
"9","Andy Roddick",51,4,1,0.76,0.46,52
"10","Andy Roddick",26,6,1,0.76,0.56,52
"11","Andy Roddick",4,7,4,0.76,0.72,78
"12","Andy Roddick",21,9,5,0.76,0.49,91
"13","Andy Roddick",121,17,1,0.76,0.59,106
"14","Andy Roddick",223,14,6,0.76,0.61,123
"15","Andy Roddick",11,16,4,0.76,0.62,104
"16","Andy Roddick",39,6,4,0.76,0.52,90
"17","Andy Roddick",101,5,3,0.64,0.63,83
"18","Andy Roddick",31,7,2,0.64,0.53,72
"19","Andy Roddick",100,5,0,0.64,0.67,68
"20","Andy Roddick",92,5,2,0.64,0.67,60
"21","Andy Roddick",78,7,2,0.64,0.62,69
"22","Andy Roddick",265,6,3,0.64,0.61,79
"23","Andy Roddick",35,37,7,0.64,0.6,230
"24","Andy Roddick",67,5,1,0.76,0.62,110
"25","Andy Roddick",51,4,2,0.76,0.56,107
"26","Andy Roddick",122,8,4,0.76,0.61,75
"27","Andy Roddick",22,12,2,0.76,0.59,73
"28","Andy Roddick",64,10,1,0.76,0.53,60
"29","Andy Roddick",63,9,3,0.76,0.5,76
"30","Andy Roddick",33,9,0,0.76,0.6,77
"31","Andy Roddick",65,11,2,0.76,0.53,67
"32","Andy Roddick",16,16,14,0.76,0.51,126
"33","Andy Roddick",1,17,3,0.76,0.59,101
"34","Andy Roddick",89,8,1,0.76,0.47,66
"35","Andy Roddick",269,14,5,0.71,0.5,101
"36","Andy Roddick",243,13,2,0.71,0.68,83
"37","Andy Roddick",137,4,3,0.8,0.8,103
