tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2001-741,Nottingham,Grass,32,A,20010618,11,104053,0,,Andy Roddick,R,188,USA,18.80082136,40,888,101820,0,,Marc Rosset,R,201,SUI,30.61190965,77,575,6-7(11) 7-5 6-4,3,R32,130,14,4,113,66,56,26,17,5,5,16,15,123,64,52,30,17,7,9
2001-741,Nottingham,Grass,32,A,20010618,22,104053,0,,Andy Roddick,R,188,USA,18.80082136,40,888,101647,0,,Byron Black,R,175,ZIM,31.69883641,60,672,6-4 7-6(3),3,R16,81,9,5,72,39,35,17,11,3,3,2,2,74,48,38,11,11,3,4
2001-741,Nottingham,Grass,32,A,20010618,27,104053,0,,Andy Roddick,R,188,USA,18.80082136,40,888,103356,0,,Michel Kratochvil,R,185,SUI,22.19849418,78,548,6-4 6-4,3,QF,69,7,2,63,40,33,11,10,5,5,3,8,67,36,26,16,10,5,7
2001-741,Nottingham,Grass,32,A,20010618,30,103248,7,,Harel Levy,R,185,ISR,22.86926762,38,908,104053,0,,Andy Roddick,R,188,USA,18.80082136,40,888,7-6(3) 5-7 6-3,3,SF,122,9,2,113,66,50,25,16,12,14,10,7,120,70,48,27,17,5,8
2001-311,Queen's Club,Grass,56,A,20010611,4,104022,0,,Mikhail Youzhny,R,183,RUS,18.96235455,84,498,104053,11,,Andy Roddick,R,188,USA,18.7816564,43,883,7-6(5) 6-3,3,R64,70,6,1,58,29,28,21,11,0,0,6,4,75,41,32,15,10,4,5
2001-540,Wimbledon,Grass,128,G,20010625,26,104053,0,,Andy Roddick,R,188,USA,18.81998631,33,962,102730,0,Q,Ivo Heuberger,R,188,SUI,25.34702259,137,287,6-4 6-4 7-6(0),5,R128,103,4,3,102,82,63,11,16,6,7,4,1,98,81,52,7,16,3,6
2001-540,Wimbledon,Grass,128,G,20010625,77,104053,0,,Andy Roddick,R,188,USA,18.81998631,33,962,102563,11,,Thomas Johansson,R,180,SWE,26.25598905,14,1680,7-6(1) 6-1 4-6 7-6(3),5,R64,153,18,3,140,92,73,27,21,8,9,24,3,130,74,59,28,20,4,6
2001-540,Wimbledon,Grass,128,G,20010625,103,101964,0,WC,Goran Ivanisevic,L,193,CRO,29.78234086,125,321,104053,0,,Andy Roddick,R,188,USA,18.81998631,33,962,7-6(5) 7-5 3-6 6-3,5,R32,114,42,5,111,79,70,19,21,2,3,22,5,120,74,58,27,21,4,6
2002-540,Wimbledon,Grass,128,G,20020624,40,104053,11,,Andy Roddick,R,188,USA,19.816564,14,1825,102539,0,,Bohdan Ulihrach,R,188,CZE,27.33196441,52,740,6-1 3-1 RET,5,R128,29,4,1,30,17,16,8,6,0,0,0,3,34,21,9,7,5,0,3
2002-540,Wimbledon,Grass,128,G,20020624,84,104053,11,,Andy Roddick,R,188,USA,19.816564,14,1825,103252,0,,Alberto Martin,R,175,ESP,23.84394251,59,680,6-1 6-2 6-2,5,R64,72,14,2,64,48,42,9,12,1,1,3,1,67,38,21,13,11,5,11
