tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-560,US Open,Hard,128,G,20000828,46,102610,0,,Albert Costa,R,180,ESP,25.17727584,24,1132,104053,0,WC,Andy Roddick,R,188,USA,17.99589322,338,85,6-3 6-7(5) 6-1 6-4,5,R128,146,18,3,116,65,54,33,20,3,4,14,5,127,65,51,25,18,11,16
2000-403,Miami Masters,Hard,96,M,20000320,1,104053,0,WC,Andy Roddick,R,188,USA,17.55509925,989,5,102950,0,,Fernando Vicente,R,180,ESP,23.03353867,41,870,6-4 6-0,3,R128,58,5,2,45,25,20,15,8,4,4,4,2,65,41,24,12,8,4,8
2000-403,Miami Masters,Hard,96,M,20000320,33,101736,1,,Andre Agassi,R,180,USA,29.89185489,1,4984,104053,0,WC,Andy Roddick,R,188,USA,17.55509925,989,5,6-2 6-3,3,R64,65,6,0,48,32,26,10,8,6,6,2,3,58,28,19,12,9,4,8
2000-422,Cincinnati Masters,Hard,64,M,20000807,23,101150,0,Q,Gianluca Pozzi,L,180,ITA,35.14031485,49,769,104053,0,WC,Andy Roddick,R,188,USA,17.93839836,643,20,7-6(5) 6-1,3,R64,73,9,0,56,31,25,20,10,0,0,15,4,60,36,29,8,9,4,6
2000-499,Delray Beach,Hard,32,A,20000228,7,102133,0,,Laurence Tieleman,R,180,ITA,27.2881588,104,398,104053,0,WC,Andy Roddick,R,188,USA,17.49760438,0,0,7-6(6) 7-5,3,R32,84,16,6,79,38,34,25,12,6,6,5,0,74,40,29,24,12,3,4
2000-418,Washington,Hard,56,A,20000814,6,104053,0,WC,Andy Roddick,R,188,USA,17.95756331,596,25,102437,0,,Adrian Voinea,R,185,ROU,26.02327173,91,463,6-3 6-4,3,R64,53,9,3,54,36,32,8,10,0,0,2,4,48,35,26,6,9,0,2
2000-418,Washington,Hard,56,A,20000814,28,104053,0,WC,Andy Roddick,R,188,USA,17.95756331,596,25,102148,8,,Fabrice Santoro,R,178,FRA,27.67967146,30,1021,4-6 6-3 6-3,3,R32,102,12,2,80,44,33,19,14,0,3,2,2,88,49,31,20,14,5,10
2000-418,Washington,Hard,56,A,20000814,42,104053,0,WC,Andy Roddick,R,188,USA,17.95756331,596,25,102344,9,,Karol Kucera,R,188,SVK,26.4476386,47,830,7-6(5) 6-1,3,R16,83,8,2,59,35,28,17,10,0,0,10,8,75,34,28,16,9,6,8
2000-418,Washington,Hard,56,A,20000814,49,101736,1,,Andre Agassi,R,180,USA,30.29431896,1,3855,104053,0,WC,Andy Roddick,R,188,USA,17.95756331,596,25,6-4 6-4,3,QF,69,9,2,50,33,28,12,10,0,0,11,3,75,44,31,15,10,8,10
2001-402,Memphis,Hard,48,A,20010219,12,104053,0,WC,Andy Roddick,R,188,USA,18.47501711,124,310,102179,0,,Antony Dupuis,R,185,FRA,27.98631075,89,440,6-4 7-5,3,R64,60,11,1,59,45,40,6,11,2,2,7,2,61,41,35,8,11,6,8
