MatchID,serve,state,shot,set
803,1,b,3,1
803,1,s,1,1
803,2,b,6,3
803,1,b,17,4
768,1,b,4,1
768,1,s,4,1
768,2,s,17,1
768,1,s,7,1
768,2,s,4,1
768,2,b,12,1
768,1,s,2,2
768,1,s,1,2
768,2,b,11,2
787,2,b,15,1
787,1,b,6,1
787,1,s,3,2
782,2,b,10,1
782,1,s,2,2
782,1,s,1,2
782,1,s,2,2
782,2,b,7,2
765,2,s,2,1
765,2,b,6,1
765,2,s,2,1
765,1,s,12,1
802,2,s,13,1
802,1,b,3,1
802,1,b,9,2
802,1,s,8,3
802,1,s,22,3
802,1,b,7,3
776,1,s,13,2
776,1,b,3,2
774,1,b,5,1
774,2,s,16,1
774,2,b,-1,1
774,2,s,8,2
774,2,b,8,3
774,1,b,4,3
767,2,s,6,1
767,1,s,1,1
767,1,s,1,1
767,1,s,2,1
767,1,s,4,2
767,2,s,4,2
767,1,s,2,2
767,2,s,6,2
767,1,s,6,2
767,1,s,2,3
767,1,s,2,3
767,1,s,2,3
767,1,b,3,3
742,1,s,7,3
773,1,s,2,1
773,2,s,6,1
773,2,b,-1,2
773,1,s,4,2
773,1,s,1,2
773,1,b,6,2
751,2,s,14,1
751,2,s,2,1
751,2,s,2,1
751,1,s,2,1
751,1,s,20,3
751,1,b,5,3
750,1,s,3,1
750,2,s,20,2
750,2,b,5,2
750,2,s,2,3
750,1,b,5,3
750,1,b,4,4
736,2,s,16,1
736,2,b,13,1
736,2,b,3,1
736,1,s,5,1
736,2,s,4,1
736,2,b,4,2
736,2,b,3,2
736,1,s,2,2
726,2,b,-1,1
726,1,s,1,1
726,1,s,6,1
759,2,b,4,2
759,2,b,7,2
759,2,s,4,3
759,2,s,2,3
744,1,s,2,1
744,1,s,1,1
744,1,s,2,1
744,1,s,5,1
744,1,s,3,1
744,2,b,-1,1
744,2,s,12,2
744,2,b,3,2
744,1,b,5,2
744,2,s,2,3
744,2,b,3,3
744,2,b,-1,3
734,1,s,2,1
734,1,s,4,1
734,2,s,2,1
734,2,s,2,1
734,2,b,11,1
734,1,s,1,2
734,1,s,6,2
728,2,s,4,1
728,1,s,2,1
728,2,b,4,2
728,1,s,2,2
728,1,s,15,2
728,1,s,3,2
728,2,s,9,2
728,2,b,7,2
725,1,b,6,2
731,1,s,2,1
731,1,s,2,1
731,2,s,4,2
731,1,s,2,2
731,2,b,11,2
719,1,s,16,1
719,1,s,2,1
719,1,b,5,1
719,1,s,1,2
719,2,s,16,2
719,2,s,6,2
719,1,s,7,2
719,2,s,4,2
719,1,s,1,2
719,1,b,5,2
718,2,b,5,2
723,2,s,8,1
723,2,s,4,1
723,2,s,19,1
723,1,s,4,1
723,2,s,5,1
723,1,s,15,1
723,1,s,2,1
723,2,b,4,1
723,1,s,2,2
723,1,s,2,2
723,1,b,8,2
723,1,b,7,3
721,1,s,7,2
721,1,s,1,2
721,2,s,6,2
720,2,s,5,3
720,1,s,2,3
720,1,s,1,3
720,2,s,4,3
762,1,b,5,1
762,1,s,7,2
762,1,b,11,2
762,2,b,3,2
716,2,s,2,1
716,1,s,2,1
716,2,b,5,1
717,1,s,2,1
717,2,s,4,1
717,1,s,1,2
733,1,s,1,1
733,2,s,3,1
733,2,b,2,1
733,2,s,4,2
733,1,b,4,2
733,1,s,4,2
733,1,s,4,2
753,1,b,26,3
753,2,s,8,3
753,1,s,4,4
753,1,s,2,4
753,2,s,12,4
753,2,b,18,4
764,1,s,2,1
764,1,b,15,1
764,1,b,6,1
764,1,s,2,2
764,2,b,16,2
764,2,b,13,2
722,1,b,3,1
722,1,b,18,3
752,2,b,7,1
752,2,b,23,2
752,2,s,3,2
752,2,s,4,2
752,2,s,6,2
752,1,b,12,2
763,1,s,3,1
763,2,b,2,1
763,1,b,7,2
761,1,s,1,1
761,2,b,-1,1
761,2,s,4,1
761,1,b,9,1
761,1,s,2,1
761,1,s,10,1
761,1,s,1,1
761,1,b,5,1
756,1,s,8,1
756,1,s,2,1
756,1,s,3,2
756,1,s,2,2
756,1,b,4,2
745,2,s,6,2
745,2,b,-1,2
745,2,s,4,2
745,2,s,10,2
745,2,b,9,2
745,1,s,1,3
745,2,b,-1,3
713,2,b,13,1
713,2,b,3,1
713,2,b,-1,2
685,2,b,4,1
685,2,s,8,2
685,1,s,19,2
686,1,s,2,2
686,1,s,2,2
686,1,s,2,2
686,2,s,2,3
686,1,s,1,3
686,1,s,1,3
657,1,s,2,1
657,2,b,20,2
657,2,b,17,3
702,1,s,2,1
702,2,s,26,2
702,2,s,4,2
702,2,s,15,2
702,2,s,6,2
702,1,s,4,3
702,2,s,22,3
702,1,s,1,3
702,2,s,7,3
702,1,s,2,3
701,1,s,6,2
704,1,b,10,2
703,2,s,2,1
703,1,s,4,1
697,1,s,2,1
697,2,s,7,1
697,1,s,1,1
697,1,b,7,2
697,1,s,2,3
697,1,s,1,3
697,1,b,9,3
663,1,s,3,1
663,2,s,4,1
663,1,s,2,1
663,1,s,1,2
663,1,b,11,2
663,2,s,2,2
663,1,s,5,2
663,1,s,3,2
663,1,s,5,2
663,1,s,4,2
663,2,b,7,3
681,1,s,2,1
681,1,s,2,1
681,1,s,4,1
681,1,b,8,1
681,2,s,2,2
681,1,s,2,2
681,1,b,5,2
680,2,b,18,1
680,1,b,3,1
680,2,s,2,1
680,1,s,8,2
680,1,s,3,3
680,2,b,2,3
680,1,s,3,4
680,1,s,5,4
679,1,s,2,2
679,1,s,3,2
679,2,b,2,2
683,1,s,9,2
683,1,s,2,2
683,1,s,2,2
682,1,s,1,1
696,1,s,2,2
696,2,b,-1,2
696,1,s,1,2
711,1,s,2,1
711,1,s,4,1
711,1,s,1,1
711,1,s,2,1
711,2,b,3,1
711,2,b,3,2
710,1,s,7,1
677,2,s,3,1
677,2,b,20,1
677,1,s,2,1
677,1,s,2,3
676,1,s,2,2
676,1,s,10,2
671,1,s,13,2
671,1,s,2,2
671,2,b,27,2
671,1,s,1,3
671,1,s,2,3
671,2,b,5,3
672,1,s,2,1
672,1,s,4,1
672,1,s,1,1
668,1,s,1,1
693,1,s,2,1
693,2,s,2,2
693,1,s,2,3
653,1,s,2,1
653,1,s,1,1
653,2,b,20,2
653,1,s,1,2
653,1,b,11,2
708,2,b,13,1
708,2,s,2,1
708,1,s,2,1
708,1,b,4,1
708,1,s,4,2
708,1,s,1,2
708,1,b,7,2
708,2,b,6,2
706,1,b,3,2
705,1,s,9,2
690,1,b,11,2
655,1,s,5,3
655,1,s,3,3
654,1,s,1,3
712,1,s,2,1
712,1,s,2,1
712,2,s,4,1
712,1,s,2,1
712,1,b,7,2
712,2,b,4,2
714,2,b,2,1
714,1,s,2,2
714,1,b,5,2
714,2,b,9,2
699,1,s,2,2
699,1,s,8,2
699,1,b,6,2
699,1,s,2,2
699,2,s,2,2
699,2,b,17,2
699,2,s,2,3
699,1,b,6,3
699,1,s,3,3
699,1,s,2,3
699,1,s,1,3
633,2,s,2,1
633,1,s,2,1
633,1,s,8,1
633,1,s,2,1
633,1,s,2,5
633,2,b,4,5
632,2,b,5,2
632,1,s,4,3
632,2,s,7,3
632,1,s,5,3
632,1,s,5,3
632,1,b,3,3
632,2,s,5,4
631,2,b,8,2
631,1,s,1,2
631,1,s,1,2
631,2,b,3,4
631,2,b,12,4
631,1,s,1,5
631,1,s,5,5
631,1,s,4,5
629,2,s,2,1
629,1,s,1,1
629,1,b,5,3
629,1,s,1,4
629,1,b,9,4
627,2,b,5,3
636,1,b,5,1
636,1,b,5,2
646,2,b,16,2
646,1,s,2,3
646,2,s,4,3
646,1,s,2,3
646,1,s,1,3
646,1,s,1,4
640,1,s,1,1
640,1,s,6,1
640,2,s,2,1
640,1,s,16,1
640,1,b,10,2
640,1,b,2,3
616,1,b,3,1
616,1,b,5,1
616,2,s,6,2
616,2,s,7,2
616,1,s,4,2
616,1,s,20,2
616,1,b,5,3
615,2,b,3,1
614,1,b,7,1
604,1,s,4,1
604,1,b,5,1
604,1,s,1,1
604,2,s,4,1
604,1,b,7,1
604,2,s,6,2
604,2,s,19,2
605,1,b,23,1
605,1,s,2,2
605,1,s,5,2
