"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","coach","rod_first_sv_pctg","rod_first_sv_won_pctg","rod_sv_gms_won_pctg","rod_aces","rod_dfs","rod_bpfaced"
"84","2002-499","Delray Beach","Hard",32,"A",20020304,31,102106,5,"","Davide Sanguinetti","R",188,"ITA",29.52224504,60,614,104053,1,"","Andy Roddick","R",188,"USA",19.50992471,13,1913,"6-4 4-6 6-4",3,"F",112,9,0,91,48,35,29,15,5,6,14,5,89,51,43,17,15,4,6,"Tarik Benhabiles",0.57,0.84,0.87,14,5,6
"118","2002-421","Canada Masters","Hard",64,"M",20020729,63,103084,0,"","Guillermo Canas","R",185,"ARG",24.67351129,19,1530,104053,12,"","Andy Roddick","R",188,"USA",19.91238877,12,1825,"6-4 7-5",3,"F",76,9,1,56,36,29,13,11,0,1,9,5,55,37,26,10,11,1,4,"Tarik Benhabiles",0.67,0.7,0.73,9,5,4
"149","2003-402","Memphis","Hard",32,"A",20030217,31,103758,0,"","Taylor Dent","R",188,"USA",21.81793292,68,597,104053,1,"","Andy Roddick","R",188,"USA",20.46817248,6,2460,"6-1 6-4",3,"F",60,11,4,49,19,17,22,9,3,3,7,3,53,34,23,7,8,1,4,"Tarik Benhabiles",0.64,0.68,0.62,7,3,4
"162","2003-717","Houston","Clay",32,"A",20030421,31,101736,1,"","Andre Agassi","R",180,"USA",32.97741273,2,4295,104053,2,"","Andy Roddick","R",188,"USA",20.64065708,6,2360,"3-6 6-3 6-4",3,"F",95,5,0,77,58,40,12,14,3,5,11,2,84,47,32,20,14,0,3,"Tarik Benhabiles",0.56,0.68,0.79,11,2,3
"259","2004-717","Houston","Clay",32,"A",20040412,31,103163,0,"","Tommy Haas","R",188,"GER",26.02600958,349,90,104053,1,"","Andy Roddick","R",188,"USA",21.61806982,2,4800,"6-3 6-4",3,"F",71,3,3,56,35,28,14,10,3,3,6,1,53,35,21,12,9,2,4,"Brad Gilbert",0.66,0.6,0.78,6,1,4
"274","2004-540","Wimbledon","Grass",128,"G",20040621,127,103819,1,"","Roger Federer","R",185,"SUI",22.86926762,1,5610,104053,2,"","Andy Roddick","R",188,"USA",21.80971937,2,4695,"4-6 7-5 7-6(3) 6-4",5,"F",151,12,3,154,95,64,34,22,10,14,11,5,133,81,60,21,22,5,10,"Brad Gilbert",0.61,0.74,0.77,11,5,10
"285","2004-421","Canada Masters","Hard",64,"M",20040726,63,103819,1,"","Roger Federer","R",185,"SUI",22.9650924,1,5665,104053,2,"","Andy Roddick","R",188,"USA",21.90554415,2,4945,"7-5 6-3",3,"F",85,13,1,65,38,28,19,11,4,4,4,2,72,49,33,11,10,7,9,"Brad Gilbert",0.68,0.67,0.8,4,2,9
"300","2004-1720","Bangkok","Hard",32,"A",20040927,31,103819,1,"","Roger Federer","R",185,"SUI",23.137577,1,6760,104053,2,"","Andy Roddick","R",188,"USA",22.07802875,2,3770,"6-4 6-0",3,"F",57,11,2,52,32,23,13,8,2,2,8,2,57,40,23,6,8,4,8,"Brad Gilbert",0.7,0.57,0.5,8,2,8
"352","2005-540","Wimbledon","Grass",128,"G",20050620,127,103819,1,"","Roger Federer","R",185,"SUI",23.86584531,1,6980,104053,2,"","Andy Roddick","R",188,"USA",22.80629706,4,3590,"6-2 7-6(2) 6-4",5,"F",101,12,0,79,49,40,22,15,1,2,7,1,96,68,46,11,15,5,9,"Dean Goldfine",0.71,0.68,0.73,7,1,9
"367","2005-422","Cincinnati Masters","Hard",64,"M",20050815,63,103819,1,"","Roger Federer","R",185,"SUI",24.01916496,1,6500,104053,5,"","Andy Roddick","R",188,"USA",22.9596167,5,3130,"6-3 7-5",3,"F",75,5,1,50,32,28,10,10,1,2,11,1,59,33,24,12,11,2,6,"Dean Goldfine",0.56,0.73,0.64,11,1,6
