"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","coach","rod_first_sv_pctg","rod_first_sv_won_pctg","rod_sv_gms_won_pctg","rod_aces","rod_dfs","rod_bpfaced"
"24","2001-409","Atlanta","Clay",32,"A",20010423,31,104053,0,"WC","Andy Roddick","R",188,"USA",18.64750171,89,458,103598,0,"","Xavier Malisse","R",185,"BEL",20.76112252,78,503,"6-2 6-4",3,"F",69,7,2,60,37,28,13,9,1,1,5,2,51,31,20,10,9,3,6,"Tarik Benhabiles",0.62,0.76,1,7,2,1
"29","2001-717","Houston","Clay",32,"A",20010430,31,104053,0,"WC","Andy Roddick","R",188,"USA",18.66666667,69,633,102703,8,"","Hyung Taik Lee","R",180,"KOR",25.32238193,81,527,"7-5 6-3",3,"F",67,7,2,49,30,26,15,10,0,0,5,2,67,36,23,17,11,4,7,"Tarik Benhabiles",0.61,0.87,1,7,2,0
"52","2001-418","Washington","Hard",56,"A",20010813,55,104053,9,"","Andy Roddick","R",188,"USA",18.954141,30,1152,102854,10,"","Sjeng Schalken","R",193,"NED",24.92813142,33,1103,"6-2 6-3",3,"F",77,9,0,58,35,28,10,9,3,4,3,1,56,36,19,8,8,2,6,"Tarik Benhabiles",0.6,0.8,0.89,9,0,4
"75","2002-402","Memphis","Hard",32,"A",20020218,31,104053,2,"","Andy Roddick","R",188,"USA",19.4715948,17,1618,103484,8,"","James Blake","R",185,"USA",22.14373717,64,579,"6-4 3-6 7-5",3,"F",107,10,1,86,60,43,13,15,3,6,11,3,101,57,43,20,16,2,6,"Tarik Benhabiles",0.7,0.72,0.8,10,1,6
"84","2002-499","Delray Beach","Hard",32,"A",20020304,31,102106,5,"","Davide Sanguinetti","R",188,"ITA",29.52224504,60,614,104053,1,"","Andy Roddick","R",188,"USA",19.50992471,13,1913,"6-4 4-6 6-4",3,"F",112,9,0,91,48,35,29,15,5,6,14,5,89,51,43,17,15,4,6,"Tarik Benhabiles",0.57,0.84,0.87,14,5,6
"93","2002-717","Houston","Clay",32,"A",20020422,31,104053,3,"","Andy Roddick","R",188,"USA",19.6440794,13,1845,101948,4,"","Pete Sampras","R",185,"USA",30.69404517,14,1825,"7-6(9) 6-3",3,"F",87,13,1,63,34,31,21,11,1,1,12,2,70,48,37,11,10,1,2,"Tarik Benhabiles",0.54,0.91,1,13,1,1
"118","2002-421","Canada Masters","Hard",64,"M",20020729,63,103084,0,"","Guillermo Canas","R",185,"ARG",24.67351129,19,1530,104053,12,"","Andy Roddick","R",188,"USA",19.91238877,12,1825,"6-4 7-5",3,"F",76,9,1,56,36,29,13,11,0,1,9,5,55,37,26,10,11,1,4,"Tarik Benhabiles",0.67,0.7,0.73,9,5,4
"149","2003-402","Memphis","Hard",32,"A",20030217,31,103758,0,"","Taylor Dent","R",188,"USA",21.81793292,68,597,104053,1,"","Andy Roddick","R",188,"USA",20.46817248,6,2460,"6-1 6-4",3,"F",60,11,4,49,19,17,22,9,3,3,7,3,53,34,23,7,8,1,4,"Tarik Benhabiles",0.64,0.68,0.62,7,3,4
"162","2003-717","Houston","Clay",32,"A",20030421,31,101736,1,"","Andre Agassi","R",180,"USA",32.97741273,2,4295,104053,2,"","Andy Roddick","R",188,"USA",20.64065708,6,2360,"3-6 6-3 6-4",3,"F",95,5,0,77,58,40,12,14,3,5,11,2,84,47,32,20,14,0,3,"Tarik Benhabiles",0.56,0.68,0.79,11,2,3
"171","2003-306","St. Poelten","Clay",32,"A",20030519,31,104053,1,"","Andy Roddick","R",188,"USA",20.71731691,6,2075,103786,6,"","Nikolay Davydenko","R",178,"RUS",21.96030116,36,900,"6-3 6-2",3,"F",64,3,1,52,33,25,11,9,1,2,1,1,50,42,21,4,8,3,7,"Tarik Benhabiles",0.63,0.76,0.89,3,1,2
"177","2003-311","Queen's Club","Grass",56,"A",20030609,55,104053,3,"","Andy Roddick","R",188,"USA",20.77481177,7,2225,103206,6,"","Sebastien Grosjean","R",175,"FRA",25.0294319,20,1360,"6-3 6-3",3,"F",60,10,1,54,38,28,10,9,1,1,4,1,51,22,13,15,9,3,6,"Brad Gilbert",0.7,0.74,1,10,1,1
"188","2003-419","Indianapolis","Hard",48,"A",20030721,47,104053,1,"","Andy Roddick","R",188,"USA",20.88980151,6,2765,103387,2,"","Paradorn Srichaphan","R",185,"THA",24.10130048,11,1835,"7-6(2) 6-4",3,"F",83,15,3,62,32,29,22,11,1,1,5,3,68,29,21,25,11,3,4,"Brad Gilbert",0.52,0.91,1,15,3,1
"198","2003-421","Canada Masters","Hard",64,"M",20030804,63,104053,6,"","Andy Roddick","R",188,"USA",20.92813142,7,2630,103900,0,"","David Nalbandian","R",180,"ARG",21.58795346,21,1235,"6-1 6-3",3,"F",63,6,1,42,26,21,10,8,1,2,1,1,47,25,15,7,8,3,8,"Brad Gilbert",0.62,0.81,0.88,6,1,2
"204","2003-422","Cincinnati Masters","Hard",64,"M",20030811,63,104053,7,"","Andy Roddick","R",188,"USA",20.94729637,4,3005,103888,0,"","Mardy Fish","R",188,"USA",21.67008898,41,860,"4-6 7-6(3) 7-6(4)",3,"F",149,13,6,111,66,55,25,17,5,6,8,9,131,69,55,31,17,5,5,"Brad Gilbert",0.59,0.83,0.94,13,6,6
