tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2011-440,s-Hertogenbosch,Grass,32,A,20110612,1,103582,,,Michael Berrer,L,193,GER,30.9486653,75,635,104597,1,,Nicolas Almagro,R,183,ESP,25.80971937,15,1875,3-6 7-6(5) 6-4,3,R32,98,7,2,88,56,45,23,15,2,3,15,4,87,48,41,27,16,3,4
2011-440,s-Hertogenbosch,Grass,32,A,20110612,2,105053,,,Santiago Giraldo,R,188,COL,23.54277892,63,790,103188,,,Michael Russell,R,173,USA,33.11704312,91,573,7-6(4) 6-3,3,R32,91,0,1,67,44,33,14,11,1,2,5,1,70,45,31,11,10,2,4
2011-440,s-Hertogenbosch,Grass,32,A,20110612,3,104098,,,Dmitry Tursunov,R,185,RUS,28.50102669,70,684,103470,,,Robert Kendrick,R,190,USA,31.57563313,95,556,6-2 7-6(3),3,R32,70,6,3,57,35,30,11,10,0,1,7,3,59,34,21,14,10,3,6
2011-440,s-Hertogenbosch,Grass,32,A,20110612,4,103917,,,Nicolas Mahut,R,190,FRA,29.3908282,99,539,105173,6,,Adrian Mannarino,L,183,FRA,22.954141,53,923,7-6(2) 6-3,3,R32,81,6,3,61,39,26,12,10,0,2,1,5,65,39,26,11,11,1,5
2011-440,s-Hertogenbosch,Grass,32,A,20110612,5,103598,3,,Xavier Malisse,R,185,BEL,30.89938398,41,1035,104268,,Q,Alejandro Falla,L,185,COL,27.57837098,86,610,6-3 6-1,3,R32,56,3,0,42,28,19,9,8,0,1,0,2,47,25,13,8,8,6,11
2011-440,s-Hertogenbosch,Grass,32,A,20110612,6,104619,,WC,Jesse Huta Galung,R,188,NED,25.68377823,116,474,104714,,,Julian Reister,R,188,GER,25.19644079,135,417,6-2 3-6 7-5,3,R32,126,4,4,90,48,35,23,14,5,7,4,2,97,68,47,12,15,3,7
2011-440,s-Hertogenbosch,Grass,32,A,20110612,7,103835,,,Filippo Volandri,R,183,ITA,29.76865161,84,615,103672,,,Ricardo Mello,L,175,BRA,30.47501711,90,574,6-4 7-6(5),3,R32,93,4,3,68,49,34,11,11,2,4,4,2,95,59,33,21,11,6,9
2011-440,s-Hertogenbosch,Grass,32,A,20110612,8,104166,,,Alex Bogomolov Jr,R,178,RUS,28.13963039,80,624,104871,7,,Jeremy Chardy,R,188,FRA,24.33127995,52,930,3-6 6-4 7-6(7),3,R32,145,3,3,115,90,60,10,16,6,9,9,4,117,62,40,32,15,9,11
2011-440,s-Hertogenbosch,Grass,32,A,20110612,9,105894,,WC,Javier Marti,R,,ESP,19.41957563,234,210,104593,8,,Daniel Gimeno Traver,R,185,ESP,25.84804928,56,874,6-3 7-6(4),3,R32,89,0,1,70,49,38,12,11,2,3,8,2,70,40,31,13,10,3,5
2011-440,s-Hertogenbosch,Grass,32,A,20110612,10,104559,,,Teymuraz Gabashvili,R,188,RUS,26.05612594,142,405,104505,,Q,Konstantin Kravchuk,R,190,RUS,26.29979466,156,362,6-4 1-6 6-4,3,R32,121,1,3,73,48,35,11,13,1,4,9,4,90,56,40,17,14,6,9
2011-440,s-Hertogenbosch,Grass,32,A,20110612,11,104890,,,Andreas Haider Maurer,R,190,AUT,24.22724162,83,619,104882,,,Blaz Kavcic,R,188,SLO,24.27378508,72,642,6-4 6-7(3) 6-4,3,R32,126,9,4,88,52,48,20,16,0,0,6,7,99,61,47,22,16,4,6
2011-440,s-Hertogenbosch,Grass,32,A,20110612,12,104471,4,,Ivan Dodig,R,183,CRO,26.4421629,42,1029,103812,,,Victor Hanescu,R,198,ROU,29.89459274,62,805,6-4 7-5,3,R32,98,10,1,85,62,44,13,11,7,7,2,2,66,40,30,14,11,3,5
